kk,open,close,low,high,volumefrom,volumeto,DIFF BEFORE,PREVISAO,DIFF NEXT HOUR
9/8/2019 16:00:00,11825.49,11819.43,11798.17,11894.56,2526.62,29948331.56,,UP,56.54
9/8/2019 17:00:00,11819.43,11875.97,11808.66,11883.72,1146.06,13589661.24,56.54,UP,42.54
9/8/2019 18:00:00,11875.97,11918.51,11865.15,11922.77,1365.4,16245147.38,42.54,DOWN,-82.02
9/8/2019 19:00:00,11918.51,11836.49,11835.16,11956.44,1611,19185029.61,-82.02,UP,28.72
9/8/2019 20:00:00,11836.49,11865.21,11836.2,11888.35,738.98,8770334.69,28.72,UP,56.26
9/8/2019 21:00:00,11865.21,11921.47,11863.79,11971.35,2132.67,25442873.03,56.26,DOWN,-18.43
9/8/2019 22:00:00,11921.47,11903.04,11878,11926.55,633.82,7539479.65,-18.43,DOWN,-107.59
9/8/2019 23:00:00,11903.04,11795.45,11769.31,11909.87,1724.87,20369323.69,-107.59,UP,43.75
10/8/2019 0:00:00,11795.45,11839.2,11781.44,11839.43,708.87,8374961.24,43.75,DOWN,-34.06
10/8/2019 1:00:00,11839.2,11805.14,11803.35,11839.2,428.67,5066019.33,-34.06,UP,40.72
10/8/2019 2:00:00,11805.14,11845.86,11798.38,11880.22,628.15,7441951.51,40.72,DOWN,-29.59
10/8/2019 3:00:00,11845.86,11816.27,11804.25,11879.56,1173.61,13874861.63,-29.59,UP,12.95
10/8/2019 4:00:00,11816.27,11829.22,11804.48,11854.57,677.64,8015043.79,12.95,UP,26
10/8/2019 5:00:00,11829.22,11855.22,11828.44,11886.92,595.15,7060676.37,26,UP,37.31
10/8/2019 6:00:00,11855.22,11892.53,11851.06,11892.73,674.84,8012584.77,37.31,DOWN,-15.59
10/8/2019 7:00:00,11892.53,11876.94,11853.51,11897.77,623.31,7402610.35,-15.59,DOWN,-511.4
10/8/2019 8:00:00,11876.94,11365.54,11232.42,11878.85,11626.74,133044726.7,-511.4,UP,46.5
10/8/2019 9:00:00,11365.54,11412.04,11287.86,11427.16,3859.47,43808903.38,46.5,UP,9.33
10/8/2019 10:00:00,11412.04,11421.37,11376.78,11447.33,2299.58,26248804.87,9.33,DOWN,-29.49
10/8/2019 11:00:00,11421.37,11391.88,11321.22,11424.81,1777.53,20224861.15,-29.49,UP,4.28
10/8/2019 12:00:00,11391.88,11396.16,11362.79,11408.69,1221.29,13911815.72,4.28,DOWN,-52.98
10/8/2019 13:00:00,11396.16,11343.18,11325.12,11403,1210.1,13757518.86,-52.98,UP,33.4
10/8/2019 14:00:00,11343.18,11376.58,11262.07,11408.02,2047.29,23215407.84,33.4,DOWN,-13.29
10/8/2019 15:00:00,11376.58,11363.29,11314.3,11383.07,1196.32,13584259.7,-13.29,DOWN,-55.9
10/8/2019 16:00:00,11363.29,11307.39,11257.38,11363.37,1006.87,11397490.83,-55.9,UP,15.92
10/8/2019 17:00:00,11307.39,11323.31,11299.81,11367.19,722.34,8190159.48,15.92,DOWN,-18.98
10/8/2019 18:00:00,11323.31,11304.33,11242.86,11340.98,1671.76,18872755.15,-18.98,DOWN,-11.53
